fold,split,property_group,room_id,sub_area,final_label,image_file,image_path
1,test,A33,A33 A single attach,Room,CLEAN,A33 A Single attach. .jpg,D:\data science\CNN\A33 A single attach\A33 A Single attach. .jpg
1,test,A33,A33 A single attach,Room,CLEAN,IMG_20260918_104751.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104751.jpg
1,test,A33,A33 A single attach,Room,CLEAN,IMG_20260918_104756.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104756.jpg
1,test,A33,A33 A single attach,Room,CLEAN,IMG_20260918_104801.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104801.jpg
1,test,A33,A33 A single attach,Room,CLEAN,IMG_20260918_104805.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104805.jpg
1,test,A33,A33 A single attach,Room,CLEAN,IMG_20260918_104828.jpg,D:\data science\CNN\A33 A single attach\IMG_20260918_104828.jpg
1,test,A33,A33 C double common,Room,CLEAN,A33 C double Common.jpg,D:\data science\CNN\A33 C double common\A33 C double Common.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105110.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105110.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105117.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105117.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105124.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105124.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105135.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105135.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105143.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105143.jpg
1,test,A33,A33 C double common,Room,NOT_CLEAN,IMG_20260918_105157.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105157.jpg
1,test,A33,A33 C double common,Room,NOT_CLEAN,IMG_20260918_105203.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105203.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105215.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105215.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105219.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105219.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105224.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105224.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105241.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105241.jpg
1,test,A33,A33 C double common,Room,CLEAN,IMG_20260918_105245.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105245.jpg
1,train,A34,A34 A single attach,Room,CLEAN,A34 A Single attach.jpg,D:\data science\CNN\A34 A single attach\A34 A Single attach.jpg
1,train,A34,A34 A single attach,Room,CLEAN,IMG_20260918_104319.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104319.jpg
1,train,A34,A34 A single attach,Room,CLEAN,IMG_20260918_104324.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104324.jpg
1,train,A34,A34 A single attach,Room,CLEAN,IMG_20260918_104330.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104330.jpg
1,train,A34,A34 A single attach,Room,CLEAN,IMG_20260918_104334.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104334.jpg
1,train,A34,A34 A single attach,Room,CLEAN,IMG_20260918_104337.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104337.jpg
1,train,A34,A34 A single attach,Room,CLEAN,IMG_20260918_104358.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104358.jpg
1,train,A34,A34 A single attach,Room,CLEAN,IMG_20260918_104414.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104414.jpg
1,train,A34,A34 A single attach,Room,CLEAN,IMG_20260918_104444.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104444.jpg
1,train,A34,A34 A single attach,Room,CLEAN,IMG_20260918_104514.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104514.jpg
1,train,A34,A34 B double attach,Room,NOT_CLEAN,A34 B double attach.jpg,D:\data science\CNN\A34 B double attach\A34 B double attach.jpg
1,train,A34,A34 B double attach,Room,NOT_CLEAN,IMG_20260918_103815.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103815.jpg
1,train,A34,A34 B double attach,Room,NOT_CLEAN,IMG_20260918_103820.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103820.jpg
1,train,A34,A34 B double attach,Room,NOT_CLEAN,IMG_20260918_103827.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103827.jpg
1,train,A34,A34 B double attach,Room,NOT_CLEAN,IMG_20260918_103844.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103844.jpg
1,train,A34,A34 B double attach,Room,NOT_CLEAN,IMG_20260918_103854.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103854.jpg
1,train,A34,A34 B double attach,Room,NOT_CLEAN,IMG_20260918_103858.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103858.jpg
1,train,A34,A34 B double attach,Room,NOT_CLEAN,IMG_20260918_104015.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_104015.jpg
1,train,A34,A34 B double attach,Room,NOT_CLEAN,IMG_20260918_104031.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_104031.jpg
